question,answer
Who painted 'Girl with a Pearl Earring'?,Vermeer
What is the capital of Thailand?,Bangkok
Which animal is known for its black and white stripes?,Zebra
What is the boiling point of iron in Celsius?,2862
Who is the author of 'The Hobbit'?,J-R-R-Tolkien
What is the deepest ocean trench?,Mariana-Trench
Which element has the atomic number 8?,Oxygen
What is the capital of Sweden?,Stockholm
Who discovered the electron?,J-J-Thomson
Which country is famous for maple syrup?,Canada
What is the main ingredient in hummus?,Chickpeas
Who was the first man in space?,Yuri-Gagarin
What is the capital of Nigeria?,Abuja
Who invented the printing press?,Johannes-Gutenberg
What is the largest lake in Africa?,Lake-Victoria
Which country is known for the Taj Mahal?,India
What is the main gas in Mars' atmosphere?,CO2
Who wrote 'The Odyssey'?,Homer
What is the capital of Portugal?,Lisbon
Which animal is the largest reptile?,Saltwater-Crocodile
What is the chemical symbol for potassium?,K
Who discovered the vaccine for polio?,Jonas-Salk
What is the capital of Saudi Arabia?,Riyadh
Who invented the steam engine?,James-Watt
What is the capital of Greece?,Athens
Which element has the symbol 'Pb'?,Lead
Who wrote 'War and Peace'?,Leo-Tolstoy
What is the largest volcano in the world?,Mauna-Loa
What is the currency of Brazil?,Real
Who painted 'The Scream'?,Edvard-Munch
What is the capital of Finland?,Helsinki
Which animal is known for its pouch?,Kangaroo
What is the melting point of gold in Celsius?,1064
Who is the author of 'The Catcher in the Rye'?,J-D-Salinger
What is the longest river in Asia?,Yangtze
Which element has the atomic number 26?,Iron
What is the capital of Denmark?,Copenhagen
Who discovered penicillin?,Alexander-Fleming
Which country is famous for chocolate?,Belgium
What is the main ingredient in falafel?,Chickpeas
Who was the first person to climb Everest?,Edmund-Hillary
What is the capital of Kenya?,Nairobi
Who invented the microscope?,Zacharias-Janssen
What is the largest bay in the world?,Bay-of-Bengal
Which country is known for the Colosseum?,Italy
What is the main gas in Venus' atmosphere?,CO2
Who wrote 'Don Quixote'?,Miguel-de-Cervantes
What is the capital of Poland?,Warsaw
Which animal is the largest amphibian?,Chinese-Giant-Salamander
What is the chemical symbol for copper?,Cu
Who discovered the X-ray?,Wilhelm-Roentgen
What is the capital of Iraq?,Baghdad
Who invented the refrigerator?,William-Cullen
What is the largest waterfall in the world?,Angel-Falls
Which country is known for the Sydney Opera House?,Australia
What is the main ingredient in miso soup?,Soybean
Who was the first woman to win a Nobel Prize?,Marie-Curie
What is the capital of Chile?,Santiago
Who invented the compass?,Chinese
What is the largest coral reef in the world?,Great-Barrier-Reef
Which country is famous for pyramids?,Egypt
What is the main gas in Jupiter's atmosphere?,Hydrogen
Who invented the safety pin?,Walter-Hunt
What is the capital of Hungary?,Budapest
Which element has the symbol 'Zn'?,Zinc
Who wrote 'The Divine Comedy'?,Dante-Alighieri
What is the largest canyon in the world?,Grand-Canyon
What is the currency of South Africa?,Rand
Who painted 'Guernica'?,Pablo-Picasso
What is the capital of Austria?,Vienna
Which animal is known for its trunk?,Elephant
What is the boiling point of mercury in Celsius?,357
Who is the author of 'Frankenstein'?,Mary-Shelley
What is the longest river in North America?,Mississippi
Which element has the atomic number 14?,Silicon
What is the capital of Belgium?,Brussels
Who discovered the neutron?,James-Chadwick
Which country is famous for windmills?,Netherlands
What is the main ingredient in borscht?,Beetroot
Who was the first person to reach the South Pole?,Roald-Amundsen
What is the capital of Peru?,Lima
Who invented the telescope?,Hans-Lippershey
What is the largest peninsula in the world?,Arabian-Peninsula
Which country is known for the Leaning Tower of Pisa?,Italy
What is the main gas in Saturn's atmosphere?,Hydrogen
Who wrote 'Les Misérables'?,Victor-Hugo
What is the capital of Ireland?,Dublin
Which animal is the largest bird?,Ostrich
What is the chemical symbol for tin?,Sn
Who discovered the law of buoyancy?,Archimedes
What is the capital of Pakistan?,Islamabad
Who invented the escalator?,Jesse-Reno
What is the largest glacier in the world?,Lambert-Glacier
Which country is known for the Eiffel Tower?,France
What is the main ingredient in paella?,Rice
Who was the first person to swim the English Channel?,Matthew-Webb
What is the capital of New Zealand?,Wellington
Who invented the stethoscope?,René-Laennec
What is the largest cave in the world?,Son-Doong-Cave
Which country is famous for the Amazon rainforest?,Brazil
What is the main gas in Neptune's atmosphere?,Hydrogen
Who wrote 'The Little Prince'?,Antoine-de-Saint-Exupéry
What is the capital of Philippines?,Manila
Which animal is the largest fish?,Whale-Shark
What is the chemical symbol for platinum?,Pt
Who discovered the circulation of blood?,William-Harvey
What is the capital of Morocco?,Rabat
Who invented the light-emitting diode?,Nick-Holonyak
What is the largest salt flat in the world?,Salar-de-Uyuni
Which country is known for the Acropolis?,Greece
What is the main ingredient in tabbouleh?,Parsley
Who invented the ballpoint pen?,László-Bíró
What is the capital of Colombia?,Bogotá
Which element has the symbol 'Ni'?,Nickel
Who wrote 'The Brothers Karamazov'?,Fyodor-Dostoevsky
What is the largest archipelago in the world?,Indonesia
What is the currency of South Korea?,Won
Who painted 'The Night Watch'?,Rembrandt
What is the capital of Czech Republic?,Prague
Which animal is known for its quills?,Porcupine
What is the boiling point of ethanol in Celsius?,78
Who is the author of 'Dracula'?,Bram-Stoker
What is the longest river in Europe?,Volga
Which element has the atomic number 17?,Chlorine
What is the capital of Romania?,Bucharest
Who discovered the proton?,Ernest-Rutherford
Which country is famous for fjords?,Norway
What is the main ingredient in gazpacho?,Tomato
Who was the first person to reach the North Pole?,Robert-Peary
What is the capital of Malaysia?,Kuala-Lumpur
Who invented the sewing machine?,Elias-Howe
What is the largest delta in the world?,Ganges-Brahmaputra-Delta
Which country is known for the Brandenburg Gate?,Germany
What is the main gas in Uranus' atmosphere?,Hydrogen
Who wrote 'Crime and Punishment'?,Fyodor-Dostoevsky
What is the capital of Vietnam?,Hanoi
Which animal is the largest insect?,Goliath-Beetle
What is the chemical symbol for antimony?,Sb
Who discovered the structure of DNA?,Watson-and-Crick
What is the capital of Bangladesh?,Dhaka
Who invented the thermometer?,Galileo-Galilei
What is the largest plateau in the world?,Tibetan-Plateau
Which country is known for the Kremlin?,Russia
What is the main ingredient in kimchi?,Cabbage
Who was the first person to run a sub-four-minute mile?,Roger-Bannister
What is the capital of Slovakia?,Bratislava
Who invented the typewriter?,Christopher-Latham-Sholes
What is the largest freshwater lake in the world?,Lake-Superior
Which country is famous for the Louvre?,France
What is the main gas in Pluto's atmosphere?,Nitrogen
Who wrote 'Wuthering Heights'?,Emily-Bronte
What is the capital of Croatia?,Zagreb
Which animal is the largest marsupial?,Red-Kangaroo
What is the chemical symbol for tungsten?,W
Who discovered the electron?,J-J-Thomson
What is the capital of Ecuador?,Quito
Who invented the phonograph?,Thomas-Edison
What is the largest sand desert in the world?,Rub-al-Khali
Which country is known for the Alhambra?,Spain
What is the main ingredient in pesto?,Basil
Who was the first person to reach the summit of K2?,Achille-Compagnoni
What is the capital of Bulgaria?,Sofia
Who invented the zipper?,Whitcomb-Juddson
What is the largest hot desert in Asia?,Gobi-Desert
Which country is famous for the Parthenon?,Greece
What is the main gas in Earth's stratosphere?,Ozone
Who wrote 'Anna Karenina'?,Leo-Tolstoy
What is the capital of Serbia?,Belgrade
Who invented the electric motor?,Michael-Faraday
What is the capital of Estonia?,Tallinn
Which element has the symbol 'Hg'?,Mercury
Who wrote 'Great Expectations'?,Charles-Dickens
What is the largest inland sea in the world?,Caspian-Sea
What is the currency of Egypt?,Pound
Who painted 'Water Lilies'?,Claude-Monet
What is the capital of Lithuania?,Vilnius
Which animal is known for its mane?,Lion
What is the boiling point of nitrogen in Celsius?,-196
Who is the author of 'The Jungle Book'?,Rudyard-Kipling
What is the longest river in South America?,Amazon
Which element has the atomic number 79?,Gold
What is the capital of Slovenia?,Ljubljana
Who discovered the smallpox vaccine?,Edward-Jenner
Which country is famous for castles?,Scotland
What is the main ingredient in guacamole?,Avocado
Who was the first person to reach the summit of Mount Everest?,Edmund-Hillary
What is the capital of Luxembourg?,Luxembourg
Who invented the barometer?,Evangelista-Torricelli
What is the largest lagoon in the world?,New-Caledonia-Lagoon
Which country is known for the Sphinx?,Egypt
What is the main gas in Titan's atmosphere?,Nitrogen
Who wrote 'Jane Eyre'?,Charlotte-Bronte
What is the capital of Latvia?,Riga
Which animal is the largest rodent?,Capybara
What is the chemical symbol for lead?,Pb
Who discovered the law of gravity?,Isaac-Newton
What is the capital of Jordan?,Amman
Who invented the pneumatic tire?,John-Boyd-Dunlop
What is the largest arch dam in the world?,Jinping-I-Dam
Which country is known for the Matterhorn?,Switzerland
What is the main ingredient in moussaka?,Eggplant
Who was the first person to reach the summit of Mount Kilimanjaro?,Hans-Meyer
What is the capital of Iceland?,Reykjavik
Who invented the safety razor?,King-Camp-Gillette
What is the largest fjord in the world?,Scoresby-Sund
Which country is famous for the Kremlin?,Russia
What is the main gas in Venus' clouds?,Sulfur-Dioxide
Who wrote 'David Copperfield'?,Charles-Dickens
What is the capital of Belarus?,Minsk
Which animal is the largest carnivore?,Polar-Bear
What is the chemical symbol for bismuth?,Bi
Who discovered the electron?,J-J-Thomson
What is the capital of Georgia?,Tbilisi
Who invented the fountain pen?,Lewis-Waterman
What is the largest river delta in Europe?,Danube-Delta
Which country is known for the Blue Mosque?,Turkey
What is the main ingredient in ratatouille?,Zucchini
Who was the first person to reach the summit of Mount Elbrus?,Khillar-Khivintsev
What is the capital of Armenia?,Yerevan
Who invented the paperclip?,Johan-Vaaler
What is the largest ice shelf in the world?,Ross-Ice-Shelf
Which country is famous for the Sydney Opera House?,Australia
What is the main gas in Mars' atmosphere?,Carbon-Dioxide
Who wrote 'Oliver Twist'?,Charles-Dickens
What is the capital of Moldova?,Chisinau
Which animal is the largest land mammal?,African-Elephant
What is the chemical symbol for cadmium?,Cd
Who discovered the law of refraction?,Willebrord-Snellius
What is the capital of Kazakhstan?,Astana
Who invented the match?,John-Walker
What is the largest river in Africa?,Nile
Which country is known for the Great Wall?,China
What is the main ingredient in risotto?,Rice
Who was the first person to reach the summit of Mount McKinley?,Hudson-Stuck
What is the capital of Cyprus?,Nicosia
Who invented the mechanical clock?,Yi-Xing
What is the capital of Montenegro?,Podgorica
Which element has the symbol 'Cr'?,Chromium
Who wrote 'The Old Man and the Sea'?,Ernest-Hemingway
What is the largest waterfall in Africa?,Victoria-Falls
What is the currency of Turkey?,Lira
Who painted 'The Birth of Venus'?,Sandro-Botticelli
What is the capital of Albania?,Tirana
Which animal is known for its shell?,Turtle
What is the boiling point of helium in Celsius?,-269
Who is the author of 'The Picture of Dorian Gray'?,Oscar-Wilde
What is the longest river in Australia?,Murray
Which element has the atomic number 47?,Silver
What is the capital of Bosnia and Herzegovina?,Sarajevo
Who discovered the polio vaccine?,Jonas-Salk
Which country is famous for the Andes?,Peru
What is the main ingredient in tempura?,Batter
Who was the first person to reach the summit of Mount Vinson?,Nicholas-Clinch
What is the capital of Uzbekistan?,Tashkent
Who invented the suspension bridge?,James-Finley
What is the largest lake in South America?,Lake-Titicaca
Which country is known for the Moai statues?,Chile
What is the main gas in Mercury's atmosphere?,Oxygen
Who wrote 'Madame Bovary'?,Gustave-Flaubert
What is the capital of Afghanistan?,Kabul
Which animal is the largest flying bird?,Wandering-Albatross
What is the chemical symbol for arsenic?,As
Who discovered the law of conservation of mass?,Antoine-Lavoisier
What is the capital of Oman?,Muscat
Who invented the hot air balloon?,Montgolfier-Brothers
What is the largest river in India?,Ganges
Which country is known for the Pyramids of Giza?,Egypt
What is the main ingredient in couscous?,Semolina
Who was the first person to reach the summit of Mount Aconcagua?,Matthias-Zurbriggen
What is the capital of Liechtenstein?,Vaduz
Who invented the printing press?,Johannes-Gutenberg
What is the largest river in Russia?,Lena
Which country is famous for the Sahara Desert?,Algeria
What is the main gas in Earth's troposphere?,Nitrogen
Who wrote 'The Scarlet Letter'?,Nathaniel-Hawthorne
What is the capital of Malta?,Valletta
Which animal is the largest reptile?,Saltwater-Crocodile
What is the chemical symbol for neon?,Ne
Who discovered the law of electromagnetism?,James-Clerk-Maxwell
What is the capital of Honduras?,Tegucigalpa
Who invented the submarine?,Cornelius-Drebbel
What is the largest river in China?,Yangtze
Which country is known for the Great Barrier Reef?,Australia
What is the main ingredient in ramen?,Noodles
Who was the first person to reach the summit of Mount Kosciuszko?,Paweł-Edmund-Strzelecki
What is the capital of Paraguay?,Asunción
Who invented the bicycle?,Karl-von-Drais
What is the largest river in France?,Loire
Which country is famous for the Alps?,Switzerland
What is the main gas in Earth's mesosphere?,Nitrogen
Who wrote 'The Canterbury Tales'?,Geoffrey-Chaucer
What is the capital of Costa Rica?,San-José
Which animal is the largest primate?,Gorilla
What is the chemical symbol for fluorine?,F
Who discovered the law of planetary motion?,Johannes-Kepler
What is the capital of Guatemala?,Guatemala-City
Who invented the parachute?,Louis-Sébastien-Lenormand
What is the largest river in Germany?,Rhine
Which country is known for the Amazon River?,Brazil
What is the main ingredient in baklava?,Phyllo-Dough
Who was the first person to reach the summit of Mount Everest without oxygen?,Reinhold-Messner
What is the capital of Nepal?,Kathmandu
Who invented the jet engine?,Frank-Whittle
What is the largest river in Italy?,Po
Which country is famous for the Danube River?,Austria
What is the main gas in Earth's exosphere?,Hydrogen
Who wrote 'The Metamorphosis'?,Franz-Kafka
What is the capital of Venezuela?,Caracas
Which animal is the largest mollusk?,Giant-Squid
What is the chemical symbol for manganese?,Mn
Who discovered the law of inertia?,Galileo-Galilei
What is the capital of Sudan?,Khartoum
